Page,Provider,Provider Info,Base,Quote,Price,Checks,Address,Address Link
"6","CrossPT-corn-pumpBTC-26DEC2024/WBTC/USD","Cross","PT-corn-pumpBTC-26DEC2024","USD","•$92239.9","(7)","0xE56d...56D2bd","https://etherscan.io/address/0xE56d935405De1600dB78C7b4EF58c8517c56D2bd"
"6","CrossPT-pumpBTC-27MAR2025/WBTC/USD","Cross","PT-pumpBTC-27MAR2025","USD","•$92239.9","(7)","0x9d92...f854D2","https://etherscan.io/address/0x9d927D9551d23a6B6497e955DB1f843A4af854D2"
"6","CrossPT-corn-SolvBTC.BBN-26DEC2024/WBTC/USD","Cross","PT-corn-SolvBTC.BBN-26DEC2024","USD","•$92239.9","(7)","0x4c2A...Fd7499","https://etherscan.io/address/0x4c2A73ff36565F513F83a57CC5668551bdFd7499"
"7","CrossPT-USD0++-27MAR2025/bUSD0/USD","Cross","PT-USD0++-27MAR2025","USD","•$0.00000","(7)","0xbE37...8611de","https://etherscan.io/address/0xbE37356aECd50Aa57cb545eD25053055898611de"
"7","CrossPT-USD0++-26JUN2025/bUSD0/USD","Cross","PT-USD0++-26JUN2025","USD","•$0.00000","(7)","0x1E87...326eBF","https://etherscan.io/address/0x1E87e5D9F675F4883cd81f6Cf4B92E03cc326eBF"
"7","PythCrypto.WEETH/USD (120s, ±300bps)","Pyth","weETH","USD","•$0.00000","(11)","0x0081...873193","https://etherscan.io/address/0x0081d84174d84EE37973fc553b2a3A0101873193"
"7","PythCrypto.USDT/USD (120s, ±300bps)","Pyth","USDT","USD","•$0.00000","(11)","0x658b...71D45a","https://etherscan.io/address/0x658ba5f7395774c664C7E6ac18D7E77F7871D45a"
"7","Fixed Rate1:1 USR/USD","Fixed Rate","USR","USD","•$0.00000","(7)","0x4FD3...84f893","https://etherscan.io/address/0x4FD36Cd1C23BE30db86679f391087fd8a984f893"
"7","Fixed Rate1:1 USDL/USD","Fixed Rate","USDL","USD","•$0.00000","(7)","0x810E...747a90","https://etherscan.io/address/0x810E3c19475a12C3fCeD08D6217c6536C9747a90"
"7","PythCrypto.G/USD (120s, ±300bps)","Pyth","G","USD","•$0.00000","(11)","0xf218...A4e93C","https://etherscan.io/address/0xf21842C0dce883D02d0c62AB45AaA2C4dfA4e93C"
"7","Fixed Rate1:1 USRUSDC/USD","Fixed Rate","USRUSDC","USD","•$0.00000","(7)","0x3ba9...07114d","https://etherscan.io/address/0x3ba9dc51E9a814D1B8fb3E8919be413d5D07114d"
"7","CrossAA_idle_Fasanara/USDC/USD","Cross","AA_idle_Fasanara","USD","•$0.00000","(7)","0xc977...d28b2a","https://etherscan.io/address/0xc9775fb90053119Ac99C67f5536dbC02dFd28b2a"
"7","CrossmBTC/BTC/USD","Cross","mBTC","USD","•$0.00000","(7)","0xf814...Fe2058","https://etherscan.io/address/0xf8147C4c6CB7c615c32A44EB79C18C43b9Fe2058"
"7","PythCrypto.FDUSD/USD (120s, ±300bps)","Pyth","FDUSD","USD","•$0.00000","(11)","0xC642...DeBb74","https://etherscan.io/address/0xC642C492BbffFb7CCA586245A520afB313DeBb74"
"7","PythCrypto.PYUSD/USD (120s, ±300bps)","Pyth","PYUSD","USD","•$0.00000","(11)","0xD648...774a88","https://etherscan.io/address/0xD648Bd39771e10F0BFBF69AFCd966642EE774a88"
"7","Fixed Rate1:1 RLUSD/USD","Fixed Rate","RLUSD","USD","•$0.00000","(7)","0x4C63...bB4B17","https://etherscan.io/address/0x4C631cBBd02B9b510ccB8d47A0D237F485bB4B17"
